"No. Paquete","Hora","IP Origen","IP Destino","Protocolo","Longitud","Puerto Origen","Puerto Destino","Flags TCP","Tipo Servicio","ID IP"
"34","19:41:01","10.0.2.3","10.0.2.15","UDP","97","53","45449","N/A","0x00","25920"
"35","19:41:01","10.0.2.15","10.0.2.3","UDP","86","45449","53","N/A","0x00","19671"
"36","19:41:01","10.0.2.3","10.0.2.15","UDP","86","53","45449","N/A","0x00","25921"
"37","19:41:02","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","3002"
"38","19:41:02","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25922"
"39","19:41:02","10.0.2.15","10.0.2.3","UDP","97","53247","53","N/A","0x00","41052"
"40","19:41:02","10.0.2.3","10.0.2.15","UDP","97","53","53247","N/A","0x00","25923"
"41","19:41:02","10.0.2.15","10.0.2.3","UDP","86","53247","53","N/A","0x00","41053"
"42","19:41:02","10.0.2.3","10.0.2.15","UDP","86","53","53247","N/A","0x00","25924"
"43","19:41:02","10.0.2.15","20.127.250.238","TCP","54","40556","443","ACK","0x00","5355"
"44","19:41:02","20.127.250.238","10.0.2.15","TCP","60","443","40556","ACK","0x00","25925"
"45","19:41:03","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","3042"
"46","19:41:03","10.0.2.15","157.90.91.75","TCP","54","44354","443","ACK","0x00","15828"
"47","19:41:03","157.90.91.75","10.0.2.15","TCP","60","443","44354","ACK","0x00","25926"
"48","19:41:03","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25927"
"49","19:41:03","10.0.2.15","10.0.2.3","UDP","97","35006","53","N/A","0x00","5487"
"50","19:41:03","10.0.2.3","10.0.2.15","UDP","97","53","35006","N/A","0x00","25928"
"51","19:41:03","10.0.2.15","10.0.2.3","UDP","86","35006","53","N/A","0x00","5488"
"52","19:41:03","10.0.2.3","10.0.2.15","UDP","86","53","35006","N/A","0x00","25929"
"53","19:41:04","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","3886"
"54","19:41:04","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25930"
"55","19:41:04","10.0.2.15","10.0.2.3","UDP","97","37834","53","N/A","0x00","6214"
"56","19:41:04","10.0.2.3","10.0.2.15","UDP","97","53","37834","N/A","0x00","25931"
"57","19:41:04","10.0.2.15","10.0.2.3","UDP","86","37834","53","N/A","0x00","6215"
"58","19:41:04","10.0.2.3","10.0.2.15","UDP","86","53","37834","N/A","0x00","25932"
"59","19:41:05","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","4470"
"60","19:41:05","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25933"
"61","19:41:05","10.0.2.15","10.0.2.3","UDP","97","43458","53","N/A","0x00","53636"
"62","19:41:05","10.0.2.3","10.0.2.15","UDP","97","53","43458","N/A","0x00","25934"
"63","19:41:05","10.0.2.15","10.0.2.3","UDP","86","43458","53","N/A","0x00","53637"
"64","19:41:05","10.0.2.3","10.0.2.15","UDP","86","53","43458","N/A","0x00","25935"
"65","19:41:06","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","4519"
"66","19:41:06","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25936"
"67","19:41:06","10.0.2.15","10.0.2.3","UDP","97","56292","53","N/A","0x00","21897"
"68","19:41:06","10.0.2.3","10.0.2.15","UDP","97","53","56292","N/A","0x00","25937"
"69","19:41:06","10.0.2.15","10.0.2.3","UDP","86","56292","53","N/A","0x00","21898"
"70","19:41:06","10.0.2.3","10.0.2.15","UDP","86","53","56292","N/A","0x00","25938"
"71","19:41:07","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","5004"
"72","19:41:07","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25939"
"73","19:41:07","10.0.2.15","10.0.2.3","UDP","97","51715","53","N/A","0x00","47155"
"74","19:41:07","10.0.2.3","10.0.2.15","UDP","97","53","51715","N/A","0x00","25940"
"75","19:41:07","10.0.2.15","10.0.2.3","UDP","86","51715","53","N/A","0x00","47156"
"76","19:41:07","10.0.2.3","10.0.2.15","UDP","86","53","51715","N/A","0x00","25941"
"77","19:41:08","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","5348"
"78","19:41:08","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25942"
"79","19:41:08","10.0.2.15","10.0.2.3","UDP","97","36773","53","N/A","0x00","33342"
"80","19:41:08","10.0.2.3","10.0.2.15","UDP","97","53","36773","N/A","0x00","25943"
"81","19:41:08","10.0.2.15","10.0.2.3","UDP","86","36773","53","N/A","0x00","33343"
"82","19:41:08","10.0.2.3","10.0.2.15","UDP","86","53","36773","N/A","0x00","25944"
"83","19:41:09","10.0.2.15","40.89.244.232","ICMP","98","8","0","N/A","0x00","5444"
"84","19:41:09","40.89.244.232","10.0.2.15","ICMP","98","0","0","N/A","0x00","25945"
"85","19:41:09","10.0.2.15","10.0.2.3","UDP","97","54051","53","N/A","0x00","15423"
"86","19:41:09","10.0.2.3","10.0.2.15","UDP","97","53","54051","N/A","0x00","25946"
